coin,min_rr,atr_buffer_multiplier,risk_per_trade_percent,partial_tp_rr,net_profit,win_rate,profit_factor,max_drawdown,total_trades,total_r_gain
ADAUSDT,3.0,0.7,2.0,2.0,24304.72,46.55,2.14,12.73,174,121.52
ADAUSDT,3.0,1.8,2.0,1.1,10856.13,57.3,2.31,8.61,89,54.28
ADAUSDT,3.0,0.8,2.0,2.0,16291.78,41.14,1.68,20.97,175,81.46
ADAUSDT,3.0,0.6,2.0,2.0,26706.23,48.31,2.26,10.8,178,133.53
ADAUSDT,3.0,0.7,2.0,1.1,22930.15,60.8,2.45,10.87,176,114.65
ADAUSDT,3.0,0.8,2.0,1.1,15194.04,55.93,1.84,12.64,177,75.97
ADAUSDT,3.0,0.6,2.0,1.1,20933.73,60.77,2.29,9.25,181,104.67
ADAUSDT,3.0,1.8,2.0,2.0,13632.92,43.82,2.26,9.83,89,68.16
ADAUSDT,3.0,1.9,2.0,1.1,13033.09,61.25,2.94,7.85,80,65.17
ADAUSDT,3.0,1.9,2.0,2.0,13241.01,46.25,2.42,10.44,80,66.21
ADAUSDT,3.0,2.1,2.0,1.1,10973.31,62.32,2.96,6.21,69,54.87
ADAUSDT,3.0,2.0,2.0,2.0,10408.01,42.47,2.14,12.99,73,52.04
ADAUSDT,3.0,2.1,2.0,2.0,9815.16,44.93,2.2,8.88,69,49.08
ADAUSDT,3.0,2.0,2.0,1.1,12168.09,61.64,3.0,7.69,73,60.84
