coin,min_rr,atr_buffer_multiplier,risk_per_trade_percent,partial_tp_rr,net_profit,win_rate,profit_factor,max_drawdown,total_trades,total_r_gain
BNBUSDT,3.0,0.8,2.0,2.0,12290.6,42.31,1.87,14.68,104,61.45
BNBUSDT,3.0,0.9,2.0,2.0,11887.47,40.74,1.79,14.07,108,59.44
BNBUSDT,3.0,1.0,2.0,1.1,12866.23,53.54,2.17,9.07,99,64.33
BNBUSDT,3.0,0.9,2.0,1.5,10753.56,44.44,1.76,15.93,108,53.77
BNBUSDT,3.0,0.8,2.0,1.5,10034.51,43.27,1.72,16.76,104,50.17
BNBUSDT,3.0,0.8,2.0,1.1,8714.4,54.21,1.75,11.42,107,43.57
BNBUSDT,3.0,0.9,2.0,1.1,7703.12,50.91,1.6,15.31,110,38.52
BNBUSDT,3.0,1.0,2.0,2.0,16284.35,40.82,2.17,8.47,98,81.42
BNBUSDT,3.0,1.0,2.0,1.5,15020.2,47.96,2.23,9.8,98,75.1
BNBUSDT,3.0,1.1,2.0,1.5,29979.86,51.02,3.63,6.44,98,149.9
BNBUSDT,3.0,1.1,2.0,1.1,26640.01,59.0,3.72,6.44,100,133.2
BNBUSDT,3.0,1.2,2.0,1.1,12874.75,57.58,2.27,7.56,99,64.37
BNBUSDT,3.0,1.1,2.0,2.0,31481.05,45.92,3.49,4.86,98,157.41
BNBUSDT,3.0,1.2,2.0,1.5,14040.84,49.48,2.2,7.43,97,70.2
BNBUSDT,3.0,1.2,2.0,2.0,15648.04,45.36,2.23,8.4,97,78.24
BNBUSDT,3.0,1.3,2.0,1.1,7715.26,50.0,1.67,11.96,96,38.58
BNBUSDT,3.0,1.3,2.0,2.0,8640.14,40.62,1.64,9.96,96,43.2
BNBUSDT,3.0,1.3,2.0,1.5,8540.5,43.75,1.66,8.96,96,42.7
BNBUSDT,3.0,1.4,2.0,1.5,5272.73,42.11,1.4,12.2,95,26.36
BNBUSDT,3.0,1.4,2.0,1.1,4645.56,48.42,1.4,17.57,95,23.23
BNBUSDT,3.0,1.4,2.0,2.0,3777.59,33.68,1.25,23.05,95,18.89
