coin,min_rr,atr_buffer_multiplier,risk_per_trade_percent,partial_tp_rr,net_profit,win_rate,profit_factor,max_drawdown,total_trades,total_r_gain
BTCUSDT,3.0,1.1,2.0,1.1,15880.9,65.29,2.57,10.56,121,79.4
BTCUSDT,3.0,1.2,2.0,2.0,17089.33,50.83,2.2,11.06,120,85.45
BTCUSDT,3.0,1.1,2.0,1.5,20369.03,61.16,2.8,10.16,121,101.85
BTCUSDT,3.0,1.2,2.0,1.5,17095.34,60.33,2.48,10.62,121,85.48
BTCUSDT,3.0,1.1,2.0,2.0,20213.46,50.83,2.42,9.78,120,101.07
BTCUSDT,3.0,1.2,2.0,1.1,14193.37,65.29,2.4,10.97,121,70.97
BTCUSDT,3.0,1.3,2.0,1.1,18224.22,66.67,2.96,8.27,117,91.12
BTCUSDT,3.0,1.3,2.0,1.5,20313.25,61.21,2.9,7.38,116,101.57
BTCUSDT,3.0,1.4,2.0,2.0,24792.0,57.02,3.11,8.7,114,123.96
BTCUSDT,3.0,1.4,2.0,1.1,19401.21,72.17,3.54,4.66,115,97.01
BTCUSDT,3.0,1.3,2.0,2.0,20524.71,53.45,2.6,11.01,116,102.62
BTCUSDT,3.0,1.4,2.0,1.5,24651.16,64.04,3.53,5.35,114,123.26
BTCUSDT,3.0,1.5,2.0,1.1,24055.4,71.82,4.25,5.17,110,120.28
BTCUSDT,3.0,1.5,2.0,1.5,23383.23,64.22,3.5,6.49,109,116.92
BTCUSDT,3.0,1.5,2.0,2.0,23192.09,54.21,2.97,6.53,107,115.96
BTCUSDT,3.0,1.6,2.0,2.0,18866.25,55.45,2.78,4.29,101,94.33
BTCUSDT,3.0,1.6,2.0,1.5,18565.83,64.42,3.12,4.66,104,92.83
BTCUSDT,3.0,1.6,2.0,1.1,19595.72,73.08,3.98,4.63,104,97.98
