coin,min_rr,atr_buffer_multiplier,risk_per_trade_percent,partial_tp_rr,net_profit,win_rate,profit_factor,max_drawdown,total_trades,total_r_gain
SOLUSDT,3.0,0.7,2.0,1.1,26182.15,64.02,2.96,10.82,164,130.91
SOLUSDT,3.0,0.6,2.0,1.5,25195.11,57.4,2.55,10.06,169,125.98
SOLUSDT,3.0,0.6,2.0,1.1,25992.55,65.68,2.98,8.4,169,129.96
SOLUSDT,3.0,1.8,2.0,1.5,13407.37,61.63,2.86,7.01,86,67.04
SOLUSDT,3.0,0.7,2.0,1.5,27562.26,59.76,2.84,10.78,164,137.81
SOLUSDT,3.0,1.9,2.0,1.1,9638.26,67.9,2.69,7.58,81,48.19
SOLUSDT,3.0,1.8,2.0,1.1,11283.66,68.6,2.91,7.56,86,56.42
SOLUSDT,3.0,2.0,2.0,1.1,10026.42,71.05,3.11,7.58,76,50.13
SOLUSDT,3.0,1.9,2.0,1.5,12150.03,61.73,2.79,6.72,81,60.75
SOLUSDT,3.0,2.0,2.0,1.5,13677.48,64.47,3.34,6.97,76,68.39
SOLUSDT,3.0,2.1,2.0,1.1,11986.65,71.43,3.79,6.56,70,59.93
SOLUSDT,3.0,2.1,2.0,1.5,15357.86,65.71,3.97,5.06,70,76.79
SOLUSDT,3.0,2.2,2.0,1.1,14394.87,70.15,4.35,7.49,67,71.97
SOLUSDT,3.0,2.2,2.0,1.5,17295.15,67.16,4.66,7.93,67,86.48
