coin,min_rr,atr_buffer_multiplier,risk_per_trade_percent,partial_tp_rr,net_profit,win_rate,profit_factor,max_drawdown,total_trades,total_r_gain
XRPUSDT,3.0,1.2,2.0,1.1,16052.2,68.5,2.78,6.18,127,80.26
XRPUSDT,3.0,1.0,2.0,1.5,12020.73,55.47,1.87,9.36,137,60.1
XRPUSDT,3.0,1.2,2.0,1.5,16373.45,54.76,2.28,9.54,126,81.87
XRPUSDT,3.0,1.0,2.0,1.1,12513.39,66.43,2.17,8.32,140,62.57
XRPUSDT,3.0,1.1,2.0,1.1,16908.06,67.16,2.71,6.56,134,84.54
XRPUSDT,3.0,1.1,2.0,1.5,17423.96,56.06,2.34,6.37,132,87.12
XRPUSDT,3.0,1.3,2.0,1.1,19161.04,66.4,3.04,6.87,125,95.81
XRPUSDT,3.0,1.3,2.0,1.5,15829.39,52.85,2.21,7.77,123,79.15
XRPUSDT,3.0,1.4,2.0,1.1,14541.23,67.57,2.82,6.97,111,72.71
XRPUSDT,3.0,1.4,2.0,1.5,9374.67,51.85,1.81,14.66,108,46.87
XRPUSDT,3.0,1.5,2.0,1.1,8057.74,61.39,1.92,11.45,101,40.29
XRPUSDT,3.0,1.5,2.0,1.5,4774.53,44.9,1.39,19.67,98,23.87
