coin,min_rr,atr_buffer_multiplier,risk_per_trade_percent,partial_tp_rr,net_profit,win_rate,profit_factor,max_drawdown,total_trades,total_r_gain
BTCUSDT,2.0,0.6,2.0,1.5,12352.81,53.57,1.59,22.56,196,61.76
BTCUSDT,2.0,1.1,1.0,1.1,10521.43,61.03,2.05,7.33,213,105.21
BTCUSDT,2.0,0.6,2.0,1.1,13330.15,61.81,1.76,17.18,199,66.65
BTCUSDT,2.0,0.6,2.0,2.0,13611.66,47.45,1.57,20.85,196,68.06
BTCUSDT,2.0,0.6,1.0,1.5,10810.58,53.91,1.79,13.69,243,108.11
BTCUSDT,2.0,0.6,1.0,2.0,11365.07,47.74,1.73,12.56,243,113.65
BTCUSDT,2.0,0.6,1.0,1.1,11328.83,62.2,1.98,11.37,246,113.29
BTCUSDT,2.0,1.1,1.0,2.0,13415.01,48.82,2.04,8.44,211,134.15
BTCUSDT,2.0,1.1,1.0,1.5,12889.52,56.34,2.16,7.65,213,128.9
BTCUSDT,2.0,1.1,2.0,1.5,19625.09,54.17,1.96,10.34,192,98.13
BTCUSDT,2.0,1.1,2.0,1.1,15718.78,59.9,1.88,9.48,192,78.59
BTCUSDT,2.0,1.1,2.0,2.0,21181.94,46.84,1.9,10.73,190,105.91
BTCUSDT,2.0,1.4,1.0,1.5,13042.63,56.99,2.38,6.2,186,130.43
BTCUSDT,2.0,1.4,1.0,1.1,9978.18,64.36,2.25,4.25,188,99.78
BTCUSDT,2.0,1.4,1.0,2.0,13831.61,50.27,2.24,6.44,185,138.32
BTCUSDT,2.0,1.4,2.0,2.0,28170.34,51.76,2.47,10.43,170,140.85
BTCUSDT,2.0,1.4,2.0,1.1,19155.08,63.95,2.34,8.41,172,95.78
BTCUSDT,2.0,1.4,2.0,1.5,24909.75,55.88,2.43,10.54,170,124.55
BTCUSDT,2.0,2.0,1.0,1.1,7559.87,66.23,2.24,9.19,154,75.6
BTCUSDT,2.0,2.0,1.0,2.0,6393.56,46.0,1.68,11.01,150,63.94
BTCUSDT,2.0,2.0,1.0,1.5,7059.44,54.97,1.89,7.86,151,70.59
BTCUSDT,2.0,2.0,2.0,1.1,16020.82,66.89,2.42,12.94,148,80.1
BTCUSDT,2.0,2.0,2.0,2.0,14218.46,47.22,1.82,16.98,144,71.09
BTCUSDT,2.0,2.0,2.0,1.5,15600.21,56.55,2.08,11.96,145,78.0
BTCUSDT,2.5,0.6,1.0,1.1,10173.37,60.56,1.96,11.03,213,101.73
BTCUSDT,2.5,0.6,1.0,1.5,9984.39,54.03,1.82,11.88,211,99.84
BTCUSDT,2.5,0.6,1.0,2.0,11505.61,50.24,1.88,7.68,211,115.06
BTCUSDT,2.5,0.6,2.0,1.1,10925.35,59.76,1.71,16.5,164,54.63
BTCUSDT,2.5,0.6,2.0,1.5,10669.68,53.37,1.6,18.74,163,53.35
BTCUSDT,2.5,0.6,2.0,2.0,13812.01,50.31,1.73,11.25,163,69.06
BTCUSDT,2.5,1.1,1.0,1.1,10990.25,63.95,2.43,6.07,172,109.9
BTCUSDT,2.5,1.1,1.0,1.5,13267.63,59.65,2.56,5.9,171,132.68
BTCUSDT,2.5,1.1,1.0,2.0,13610.85,51.18,2.33,6.5,170,136.11
BTCUSDT,2.5,1.1,2.0,1.1,16650.94,62.91,2.25,8.95,151,83.25
BTCUSDT,2.5,1.1,2.0,1.5,20375.82,57.33,2.34,8.92,150,101.88
BTCUSDT,2.5,1.1,2.0,2.0,21568.15,48.99,2.2,10.73,149,107.84
BTCUSDT,2.5,1.4,1.0,1.1,10664.55,67.92,2.72,5.32,159,106.65
BTCUSDT,2.5,1.4,1.0,1.5,13548.85,60.26,2.81,4.76,156,135.49
BTCUSDT,2.5,1.4,1.0,2.0,13243.92,51.61,2.43,4.69,155,132.44
BTCUSDT,2.5,1.4,2.0,1.1,19434.09,67.38,2.8,9.59,141,97.17
BTCUSDT,2.5,1.4,2.0,1.5,25747.99,60.0,2.96,8.21,140,128.74
BTCUSDT,2.5,1.4,2.0,2.0,27130.67,54.29,2.79,8.24,140,135.65
BTCUSDT,2.5,2.0,1.0,1.1,8080.59,66.67,2.69,4.0,120,80.81
BTCUSDT,2.5,2.0,1.0,1.5,7449.05,55.56,2.2,4.07,117,74.49
BTCUSDT,2.5,2.0,1.0,2.0,7584.92,48.72,2.07,4.13,117,75.85
BTCUSDT,2.5,2.0,2.0,1.1,15309.08,67.26,2.77,5.55,113,76.55
BTCUSDT,2.5,2.0,2.0,1.5,14626.26,57.27,2.34,6.01,110,73.13
BTCUSDT,2.5,2.0,2.0,2.0,14848.03,50.0,2.17,6.28,110,74.24
BTCUSDT,3.0,0.6,1.0,1.1,11305.85,65.22,2.36,10.15,184,113.06
BTCUSDT,3.0,0.6,1.0,1.5,11302.87,58.47,2.16,8.81,183,113.03
BTCUSDT,3.0,0.6,1.0,2.0,12739.17,54.1,2.18,7.14,183,127.39
BTCUSDT,3.0,0.6,2.0,1.1,12923.18,65.69,2.15,14.76,137,64.62
BTCUSDT,3.0,0.6,2.0,1.5,13079.48,59.12,1.98,12.73,137,65.4
BTCUSDT,3.0,0.6,2.0,2.0,16101.96,55.47,2.11,8.65,137,80.51
BTCUSDT,3.0,1.1,1.0,1.1,11313.11,66.44,2.81,6.95,146,113.13
BTCUSDT,3.0,1.1,1.0,1.5,13837.16,63.01,3.03,6.68,146,138.37
BTCUSDT,3.0,1.1,1.0,2.0,13709.36,53.1,2.61,7.27,145,137.09
BTCUSDT,3.0,1.1,2.0,1.1,15880.9,65.29,2.57,10.56,121,79.4
BTCUSDT,3.0,1.1,2.0,1.5,20369.03,61.16,2.8,10.16,121,101.85
BTCUSDT,3.0,1.1,2.0,2.0,20213.46,50.83,2.42,9.78,120,101.07
BTCUSDT,3.0,1.4,1.0,1.1,10648.11,72.18,3.3,3.46,133,106.48
BTCUSDT,3.0,1.4,1.0,1.5,13298.17,64.39,3.29,3.69,132,132.98
BTCUSDT,3.0,1.4,1.0,2.0,12586.25,54.2,2.66,4.41,131,125.86
BTCUSDT,3.0,1.4,2.0,1.1,19401.21,72.17,3.54,4.66,115,97.01
BTCUSDT,3.0,1.4,2.0,1.5,24651.16,64.04,3.53,5.35,114,123.26
BTCUSDT,3.0,1.4,2.0,2.0,24792.0,57.02,3.11,8.7,114,123.96
BTCUSDT,3.0,2.0,1.0,1.1,5566.97,63.74,2.4,4.16,91,55.67
BTCUSDT,3.0,2.0,1.0,1.5,5274.56,52.81,2.05,4.23,89,52.75
BTCUSDT,3.0,2.0,1.0,2.0,4574.45,44.94,1.79,4.96,89,45.74
BTCUSDT,3.0,2.0,2.0,1.1,10290.13,64.71,2.46,6.68,85,51.45
BTCUSDT,3.0,2.0,2.0,1.5,9975.45,54.22,2.12,7.33,83,49.88
ETHUSDT,2.0,0.6,1.0,1.1,12888.91,60.95,2.03,5.27,274,128.89
ETHUSDT,2.0,0.6,1.0,1.5,15374.11,57.41,2.15,5.32,270,153.74
BTCUSDT,3.0,2.0,2.0,2.0,8525.28,45.78,1.82,8.63,83,42.63
ETHUSDT,2.0,0.6,1.0,2.0,14557.78,48.68,1.92,6.84,265,145.58
ETHUSDT,2.0,0.6,2.0,1.1,25310.91,59.76,2.13,9.26,246,126.55
ETHUSDT,2.0,0.6,2.0,1.5,29521.29,55.79,2.22,8.94,242,147.61
ETHUSDT,2.0,0.6,2.0,2.0,28229.56,47.48,1.99,10.42,238,141.15
ETHUSDT,2.0,1.1,1.0,1.1,4547.51,53.16,1.35,14.24,237,45.48
ETHUSDT,2.0,1.1,1.0,1.5,4104.55,45.34,1.28,13.77,236,41.05
ETHUSDT,2.0,1.1,1.0,2.0,2687.35,37.61,1.16,22.42,234,26.87
ETHUSDT,2.0,1.1,2.0,1.1,8146.19,52.91,1.34,28.31,223,40.73
ETHUSDT,2.0,1.1,2.0,1.5,7330.16,45.05,1.27,28.43,222,36.65
ETHUSDT,2.0,1.1,2.0,2.0,5473.29,38.46,1.18,34.92,221,27.37
ETHUSDT,2.0,1.4,1.0,1.1,610.62,52.31,1.05,23.5,216,6.11
ETHUSDT,2.0,1.4,1.0,2.0,-1032.81,36.67,0.93,34.7,210,-10.33
ETHUSDT,2.0,1.4,1.0,1.5,300.52,44.86,1.02,26.33,214,3.01
ETHUSDT,2.0,1.4,2.0,1.1,49.43,51.72,1.0,42.3,203,0.25
ETHUSDT,2.0,1.4,2.0,1.5,-1724.47,43.56,0.93,54.61,202,-8.62
ETHUSDT,2.0,1.4,2.0,2.0,-4472.84,34.67,0.85,69.0,199,-22.36
ETHUSDT,2.0,2.0,1.0,1.1,127.57,53.5,1.02,23.22,157,1.28
ETHUSDT,2.0,2.0,1.0,1.5,431.36,44.81,1.05,22.57,154,4.31
ETHUSDT,2.0,2.0,1.0,2.0,-526.04,36.6,0.95,27.38,153,-5.26
ETHUSDT,2.0,2.0,2.0,1.5,555.63,41.78,1.03,38.43,146,2.78
ETHUSDT,2.0,2.0,2.0,1.1,268.08,51.01,1.02,38.06,149,1.34
ETHUSDT,2.0,2.0,2.0,2.0,-1759.2,33.1,0.92,49.25,145,-8.8
ETHUSDT,2.5,0.6,1.0,1.1,14577.99,62.81,2.36,5.5,242,145.78
