coin,min_rr,atr_buffer_multiplier,risk_per_trade_percent,partial_tp_rr,net_profit,win_rate,profit_factor,max_drawdown,total_trades,total_r_gain
BTCUSDT,1.5,0.6,2.0,1.1,2083.17,51.79,1.33,10.49,56,10.42
BTCUSDT,1.5,1.6,2.0,1.1,4762.73,62.75,2.09,6.06,51,23.81
BTCUSDT,1.5,1.4,2.0,1.1,5170.2,61.11,2.05,5.89,54,25.85
BTCUSDT,1.5,0.8,2.0,1.1,4030.27,57.89,1.71,10.94,57,20.15
BTCUSDT,1.5,1.2,2.0,1.1,4762.99,58.62,1.85,7.15,58,23.81
BTCUSDT,1.5,1.8,2.0,1.1,3996.88,62.75,1.92,6.3,51,19.98
BTCUSDT,1.5,1.0,2.0,1.1,4605.19,54.55,1.78,8.71,55,23.03
BTCUSDT,1.5,2.2,2.0,1.1,4288.51,61.36,2.08,6.6,44,21.44
BTCUSDT,1.5,2.0,2.0,1.1,4613.65,60.78,1.99,6.46,51,23.07
BTCUSDT,2.0,0.6,2.0,1.1,2469.02,54.55,1.52,9.73,44,12.35
BTCUSDT,2.0,1.0,2.0,1.1,5036.99,57.45,2.06,9.57,47,25.18
BTCUSDT,2.0,1.2,2.0,1.1,4939.43,63.04,2.21,6.42,46,24.7
BTCUSDT,2.0,0.8,2.0,1.1,4726.29,62.5,2.1,12.09,48,23.63
BTCUSDT,2.0,1.4,2.0,1.1,5504.57,65.85,2.63,6.21,41,27.52
BTCUSDT,2.0,1.6,2.0,1.1,3856.68,65.79,2.25,6.34,38,19.28
BTCUSDT,2.0,1.8,2.0,1.1,3605.51,64.71,2.25,6.26,34,18.03
BTCUSDT,2.0,2.2,2.0,1.1,4506.01,67.65,2.67,5.78,34,22.53
BTCUSDT,2.0,2.0,2.0,1.1,4521.69,62.86,2.44,6.19,35,22.61
BTCUSDT,2.5,0.6,2.0,1.1,2135.37,54.05,1.52,7.53,37,10.68
BTCUSDT,2.5,0.8,2.0,1.1,4908.96,66.67,2.56,9.9,39,24.54
BTCUSDT,2.5,1.0,2.0,1.1,5901.78,61.11,2.73,9.57,36,29.51
BTCUSDT,2.5,1.2,2.0,1.1,5219.46,69.7,3.12,6.42,33,26.1
BTCUSDT,2.5,1.4,2.0,1.1,5771.15,68.75,3.36,5.65,32,28.86
BTCUSDT,2.5,1.6,2.0,1.1,5735.08,71.88,3.65,4.8,32,28.68
BTCUSDT,2.5,1.8,2.0,1.1,4152.53,71.43,3.07,4.74,28,20.76
BTCUSDT,2.5,2.0,2.0,1.1,5562.55,70.97,3.45,4.61,31,27.81
BTCUSDT,2.5,2.2,2.0,1.1,4319.1,68.97,2.93,4.48,29,21.6
BTCUSDT,3.0,0.6,2.0,1.1,3872.45,64.29,2.53,7.53,28,19.36
BTCUSDT,3.0,0.8,2.0,1.1,4627.63,63.33,2.68,9.9,30,23.14
BTCUSDT,3.0,1.0,2.0,1.1,6120.36,68.0,4.16,9.58,25,30.6
BTCUSDT,3.0,1.2,2.0,1.1,5052.12,71.43,3.53,5.58,28,25.26
BTCUSDT,3.0,1.4,2.0,1.1,4637.36,69.23,3.32,5.51,26,23.19
BTCUSDT,3.0,1.8,2.0,1.1,4242.34,72.0,3.41,4.78,25,21.21
BTCUSDT,3.0,1.6,2.0,1.1,5129.98,74.07,3.95,4.8,27,25.65
